epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,457.71,0.54802,0.4887,1.02048,0.4129,0.42239,0.40978,0.21394,1.96508,2.25499,2.72144,0.00086635,0.00086635,0.00086635
137,461.057,0.52639,0.49838,1.01454,0.4773,0.45075,0.3781,0.19268,2.11959,2.53908,2.98051,0.00086536,0.00086536,0.00086536
138,464.389,0.5247,0.47098,1.02024,0.42664,0.35343,0.33957,0.14983,2.29826,3.21612,3.37102,0.00086437,0.00086437,0.00086437
139,467.717,0.51852,0.46374,1.04682,0.36303,0.29045,0.33166,0.14328,2.29416,3.21006,3.3756,0.00086338,0.00086338,0.00086338
140,471.064,0.53068,0.49112,1.00273,0.47596,0.39907,0.37836,0.16209,2.23922,2.55825,3.37164,0.00086239,0.00086239,0.00086239
141,474.395,0.5287,0.49684,1.02026,0.41233,0.35364,0.3437,0.16166,2.2128,2.57144,3.24074,0.0008614,0.0008614,0.0008614
142,477.725,0.51875,0.48146,1.0136,0.39296,0.31135,0.30145,0.14837,2.21889,2.58337,3.1113,0.00086041,0.00086041,0.00086041
143,481.075,0.50657,0.48476,1.00181,0.39232,0.41508,0.40426,0.16005,2.16774,2.10467,2.94237,0.00085942,0.00085942,0.00085942
144,484.428,0.52116,0.48331,1.01587,0.51983,0.45753,0.44436,0.20233,2.04494,2.00009,2.94074,0.00085843,0.00085843,0.00085843
145,487.763,0.50719,0.45018,1.01757,0.48833,0.52833,0.50697,0.21526,2.05869,1.97361,2.96389,0.00085744,0.00085744,0.00085744
146,491.097,0.51269,0.45116,1.00216,0.59165,0.35502,0.4225,0.18185,2.18789,2.29089,3.17809,0.00085645,0.00085645,0.00085645
147,494.429,0.50848,0.46383,1.01542,0.42805,0.37579,0.38434,0.17917,2.15971,2.50435,3.09138,0.00085546,0.00085546,0.00085546
148,497.809,0.48852,0.4589,1.00307,0.42525,0.49598,0.42734,0.18278,2.16728,2.30638,3.11902,0.00085447,0.00085447,0.00085447
149,501.208,0.51842,0.47345,1.00758,0.31973,0.36842,0.3573,0.14573,2.27454,2.35153,3.20966,0.00085348,0.00085348,0.00085348
150,504.543,0.54278,0.5004,1.0209,0.3707,0.36343,0.37306,0.16385,2.21228,2.42163,3.05428,0.00085249,0.00085249,0.00085249
151,507.87,0.51138,0.4631,1.00783,0.43428,0.41293,0.36354,0.15391,2.35451,2.64981,3.27881,0.0008515,0.0008515,0.0008515
